fund_name,Predicted strategy,strategy evidence,source meta data
T. Rowe Price Institutional International Concentrated Equity Fund,Equity Long Only (Low Risk),"T. Rowe Price Institutional International Concentrated Equity Fund <head_breaker>

SUMMARY

Investment Objective

The fund seeks long-term growth of capital through investments in stocks of non-U.S. companies.

Fees and Expenses

This table describes the fees and expenses that you may pay if you buy and hold shares of the fund. You may also incur brokerage commissions and other charges when buying or selling shares of the fund, which are not reflected in the table.

Fees and Expenses of the Fund

Shareholder fees (fees paid directly from your investment)

Redemption fee (as a percentage of amount redeemed on shares held for 90 days or less)

2.00

%

Annual fund operating expenses (expenses that you pay each year as a percentage of the value of your investment)

Management fees

0.65

%

Other expenses

0.08

Total annual fund operating expenses

0.73

Fee waiver/expense reimbursement

0.02

a

Total annual fund operating expenses after fee waiver/expense reimbursement

0.75

a",{'source': 'MutualFundSummary/T. Rowe Price Institutional International Concentrated Equity Fund.txt'}
T. Rowe Price Institutional International Core Equity Fund,Balanced Fund (Low Risk),"The fund takes a core approach to investing, which provides some exposure to both growth and value styles of investing. The adviser relies on a global research team to search for particularly promising stocks. The adviser will select securities that the adviser believes have the most favorable combination of company fundamentals and valuation.

In selecting investments, the adviser generally favors companies with one or more of the following characteristics:

attractive business niche with potential for earnings growth;

attractive valuation relative to the company’s peers or its own historical norm;

barriers to entry in its business;

seasoned management;

healthy balance sheet; and

potential to grow dividends or conduct share repurchases.

The fund may sell securities for a variety of reasons, such as to secure gains, limit losses, or redeploy assets into more promising opportunities.",{'source': 'MutualFundSummary/T. Rowe Price Institutional International Core Equity Fund.txt'}
T. Rowe Price Institutional International Growth Equity Fund,Equity Long Only (Low Risk),"T. Rowe Price Institutional International Growth Equity Fund <head_breaker>

SUMMARY

Investment Objective

The fund seeks long-term growth of capital through investments primarily in the common stocks of established, non-U.S. companies.

Fees and Expenses

This table describes the fees and expenses that you may pay if you buy and hold shares of the fund. You may also incur brokerage commissions and other charges when buying or selling shares of the fund, which are not reflected in the table.

Fees and Expenses of the Fund

Shareholder fees (fees paid directly from your investment)

Redemption fee (as a percentage of amount redeemed on shares held for 90 days or less)

2.00

%

Annual fund operating expenses (expenses that you pay each year as a percentage of the value of your investment)

Management fees

0.70

%

Other expenses

0.53

Total annual fund operating expenses

1.23

Fee waiver/expense reimbursement

(0.47

)a",{'source': 'MutualFundSummary/T. Rowe Price Institutional International Growth Equity Fund.txt'}
Thrivent Partner Healthcare Portfolio,Balanced Fund (Low Risk),"Thrivent Partner Healthcare Portfolio

<head_breaker>",{'source': 'MutualFundSummary/Thrivent Partner Healthcare Portfolio.txt'}
Total Return Strategy Fund,Balanced Fund (Low Risk),"Total Return Strategy Fund

<head_breaker>",{'source': 'MutualFundSummary/Total Return Strategy Fund.txt'}
Treasury Money Market Trust,Balanced Fund (Low Risk),"Treasury Money Market Trust

<head_breaker>",{'source': 'MutualFundSummary/Treasury Money Market Trust.txt'}
U.S. Government/AAA-Rated Securities Fund,Fixed Income Long Only (Low Risk),"Principal investment strategies Normally, the fund invests at least 80% of its assets in debt securities (which may be represented by other investment instruments, including derivatives) that are guaranteed or sponsored by the U.S. government or that are otherwise rated Aaa or AAA by Nationally Recognized Statistical Rating Organizations designated by the fund’s investment adviser or unrated but determined to be of equivalent quality by the fund’s investment adviser. The fund is designed for investors seeking income, long-term capital preservation and more price stability than investments in stocks and lower quality debt securities.",{'source': 'MutualFundSummary/U.S. GovernmentAAA-Rated Securities Fund.txt'}
Ultra-Short Bond Fund,Fixed Income Long Only (Low Risk),"Ultra

Short Bond Fund

<head_breaker>

Ultra

Short Bond Fund

Investment objective The investment objective of the fund is to provide current income, consistent with the maturity and quality standards applicable to the fund, and preservation of capital and liquidity.

Fees and expenses of the fund This table describes the fees and expenses that you may pay if you buy and hold an interest in Class 1 shares of the fund. It does not reflect insurance contract fees and expenses. If insurance contract fees and expenses were reflected, expenses shown would be higher.

Annual fund operating expenses (expenses that you pay each year as a percentage of the value of your investment)	Class 1 Management fee	0.32% Other expenses	0.03 Total annual fund operating expenses	0.35 Example This example is intended to help you compare the cost of investing in Class 1 shares of the fund with the cost of investing in other mutual funds.",{'source': 'MutualFundSummary/Ultra-Short Bond Fund.txt'}
ULTRA FUND,Equity Long Only (Low Risk),"ULTRA FUND

<head_breaker>

Fund Summary

Investment Objective

The fund seeks long-term capital growth.

Fees and Expenses

The following table describes the fees and expenses you may pay if you buy and hold shares of the fund. You may qualify for sales charge discounts if you and your family invest, or agree to invest in the future, at least $50,000 in American Century Investments funds. More information about these and other discounts is available from your financial professional and in Calculation of Sales Charges on page 13 of the fund’s prospectus, Appendix A of the fund’s prospectus and Sales Charges in Appendix B of the statement of additional information.

Shareholder Fees (fees paid directly from your investment)

Investor

I1

Y

A

C

R

R5

R6

Maximum Sales Charge (Load) Imposed on Purchases (as a percentage of offering price)

None

None

None

5.75%

None

None

None

None",{'source': 'MutualFundSummary/ULTRA FUND.txt'}
USAA MSCI Emerging Markets Value Momentum Blend Index ETF,Equity Long Only (Low Risk),"INVESTMENT OBJECTIVE The USAA MSCI Emerging Markets Value Momentum Blend Index ETF seeks to provide investment results that closely correspond, before fees and expenses, to the performance of the MSCI Emerging Markets Select Value Momentum Blend Index (the “Index”). FEES AND EXPENSES The table below describes the fees and expenses that you may pay, directly and indirectly, to invest in the Fund. The annual fund operating expenses are based on expenses incurred during the Fund’s most recently completed fiscal period. You also may pay brokerage commissions on the purchase and sale of shares of the Fund, which are not reflected in the table below. Annual Fund Operating Expenses (expenses that you pay each year as a percentage of the value of your investment) Management Fee	0.30% Distribution and/or Service (12b-1) Fees	None Other Expenses (inclusive of Administration and Operating Services Fees)	0.20%a Total Annual Fund Operating Expenses	0.50% Fee Waiver	(0.05%)b Total Annual Fund",{'source': 'MutualFundSummary/USAA MSCI Emerging Markets Value Momentum Blend Index ETF.txt'}
